Sl.No,Story Heading,Body Of Story,Moral Of Story,Bhagavad Gita Reference
11,The Little Lamp in the Temple – A Story of Quiet Devotion,"The Grand Temple of Lights
In a prosperous kingdom stood a majestic temple, famous far and wide. Every evening, it was lit up with hundreds of grand oil lamps, casting a golden glow that could be seen from miles away.

These lamps were sponsored by wealthy merchants and royals, whose names were engraved on plaques. Their lamps were tall, ornate, with polished brass and engraved designs. People admired them and praised their benefactors.

But in a quiet corner near the back, where few people looked, sat a tiny clay lamp, no taller than a child’s palm. Its flame was small, its container humble, its oil limited.

No one noticed it. But it burned every evening without fail.

 The Old Woman’s Offering
This little lamp was lit each day by an old woman who lived at the edge of the town. She was poor, earning barely enough from spinning cotton. But every day, she saved a few drops of oil.

In the evening, she would walk barefoot to the temple and pour her offering into the tiny lamp she had donated years ago. She would bow, whisper a silent prayer, and quietly leave before the crowds arrived.

Her lamp, though modest, never missed a single evening.

 A Power Outage in Heaven
One night, the gods gathered in Devaloka, watching Earth as they always did. They observed the grand temple shining as usual.

But Lord Vishnu smiled and said:

“Let us see which flame truly shines.”

With a wave of His hand, He extinguished all the lamps in the temple—except one.

Only the little lamp in the corner remained glowing softly, its flame unwavering.

The gods were amazed.

“Whose lamp is that?” asked Indra.

“That is the lamp of selfless devotion,” said Vishnu. “While others were lit with pride, status, or show… this one was lit with pure love.”

 Recognition Beyond Eyes
The next morning, the temple priests were confused. They found all the grand lamps extinguished. Only the little lamp glowed, its wick barely burning.

Word spread. People came to see. The old woman stood silently in the crowd, her eyes wide with wonder, never revealing it was hers.

She didn’t need recognition.
Her heart already knew the truth.","The divine doesn’t look at how grand your offering is—only how pure your heart is. The smallest act, if done with sincerity, becomes a beacon of light in the spiritual world. Even the humblest devotee can shine brightest in the eyes of the Lord.","Chapter 9, Verse 26
“Patram pushpam phalam toyam yo me bhakty? prayacchati
Tad aham bhakty-upah?tam a?n?mi prayat?tmana?”

“If one offers Me a leaf, a flower, a fruit, or even water with love and devotion, I accept it.”

It is not the magnitude of the gift that matters—but the devotion behind it.

And also...

Chapter 6, Verse 30
“Yo m?? pa?yati sarvatra sarva? cha mayi pa?yati
Tasy?ha? na pra?a?y?mi sa cha me na pra?a?yati”

“One who sees Me in everything, and everything in Me—such a person is never lost to Me, nor am I ever lost to them.”

The old woman’s heart was always with the Divine, and so the Divine remained with her—shining through her little lamp."
12,The Bamboo’s Surrender – A Tale of Letting Go to Serve the Divine,"In a dense green forest, filled with chirping birds and rustling leaves, stood many proud and tall trees. Among them was a bamboo plant, slim, hollow, and modest in stature. Though not as majestic as the peepal or neem trees, the bamboo was graceful and flexible, often swaying gently with the wind.

The bamboo loved its peaceful life—soaking in the sun, dancing in the breeze, and whispering to the birds. It felt blessed to be part of the beautiful forest.

 The Arrival of the Divine Gardener
One day, a Divine Gardener came to the forest. It was said that whatever He touched turned into something sacred and purposeful. The trees straightened in attention, hoping to be chosen.

The Gardener walked through the grove, admiring the trees. He stopped in front of the bamboo.

“Dear bamboo,” He said, “I need you.”

The bamboo’s leaves fluttered with joy.

“I am honored, Master. What would You have me do?”

The Gardener’s eyes were kind, yet serious.

“To use you, I must cut you down.”

The bamboo was shocked.

“Cut me down? But… I’ve lived here in peace all my life. I am content. Why must I be destroyed?”

“Because unless you are cut, you cannot be used. Unless you let go of your form, you cannot be transformed.”

 The Struggle Within
The bamboo trembled. It loved the forest, the birds, the wind. To let go of its form felt like dying.

But deep within, a still voice whispered:

“Your purpose lies not in your comfort, but in your surrender.”

With a heavy heart, but full of trust, the bamboo finally said:

“Do what You must, Master. I am Yours.”

 The Bamboo’s New Life
The Gardener cut the bamboo gently, lovingly. He carved it, hollowed it, shaped it—and from it, He made a flute.

And then… He lifted the flute to His lips, and played.

The forest that once echoed with birdsong now heard something divine. Music flowed—not of the bamboo, but through it.

The winds stopped to listen. The rivers paused in their flow. Even the stars seemed to tremble.

 The Bamboo’s Realization
The bamboo, now a flute, wept—not with pain, but with joy.

“I had to be empty… to be filled with Your breath. I had to be broken… to be made whole in Your hands.”

Its surrender had not been its end. It was its true beginning.","Sometimes, life breaks us, or asks us to let go of what we hold dear. But these are not punishments—they are invitations to be shaped by the Divine, to become instruments of something far greater.

To surrender the ego, to become hollow like the flute, is to allow the Divine to play His music through us.","Chapter 18, Verse 66
“Sarva-dharm?n parityajya m?m eka? ?hara?a? vraja
Aha? tv?? sarva-p?pebhyo mok?ayi?y?mi m? ?ucah”

“Abandon all forms of dharma and simply surrender unto Me alone. I will deliver you from all sinful reactions. Do not fear.”

And also...

Chapter 3, Verse 19
“Tasm?d asakta? satata? k?rya? karma sam?chara
Asakto hy ?charan karma param ?pnoti p?ru?ha?”

“Therefore, without attachment, perform always the work that has to be done. A person who performs their duty without attachment attains the Supreme.”

The bamboo surrendered all attachment, all form, and became a silent carrier of the Divine melody."
13,The Thread in the Weaver’s Hands – A Tale of Trusting the Divine Plan,"In a small, bustling village in South India, the sound of looms clacking echoed through the air. The village was home to master weavers, famous for their rich sarees and tapestries. Traders came from distant lands to purchase these marvels of fabric—each thread interwoven with devotion, skill, and tradition.

In one such hut lived an old weaver, respected and revered. He was quiet, never boastful, and always sat with a prayer on his lips as he worked.

He was known not just for his craft—but for his calm, unshakable faith.

 The Talking Thread
One day, as he prepared to weave a new tapestry for the temple festival, a small spool of thread sat on his bench. By divine grace or poetic fancy, the thread began to think:

“I wonder where I will go in this great pattern? Perhaps I shall be the border, golden and grand! Or maybe the central motif, the eye-catcher!”

The old weaver smiled mysteriously, as if he could hear the thread’s thoughts.

Then, without a word, he began to pass the thread back and forth, up and down, through loops and knots. At times the thread was pulled harshly, sometimes it disappeared beneath, unseen.

It hurt. It was confusing.

“What is this?” cried the thread within. “Why must I go through such struggle? Why am I hidden? Why not the front? Why this knot? This tension? This confusion?”

But the weaver said nothing. His eyes were fixed on the greater pattern.

 The Final Unveiling
Days passed. The thread was woven in silence, pulled and passed without understanding. And finally, one morning, the weaver stepped back from his loom.

He had completed the tapestry.

The villagers gathered to see the masterpiece. Gasps filled the air. It was radiant. Divine.

In the center of the pattern—woven with shimmering elegance—lay the very thread that had once questioned everything.

It wasn’t on the edges. It wasn’t hidden anymore.

It was the heart of the design.

And the thread understood.

“Every twist, every knot, every moment I didn’t understand—was for this. You knew what you were doing, O Weaver. I only had to trust You.”","Life often feels like a tapestry in progress. We don’t see the full picture. We question the difficulties, the delays, the pain.

But the Divine Weaver knows the pattern. What seems like suffering is part of a divine design. All we are asked to do is surrender, trust, and stay in His hands.","Chapter 2, Verse 47
“Karma?y-ev?dhik?ras te m? phale?hu kad?chana
M? karma-phala-hetur bh?r m? te sa?go ’stvakarma?i”

“You have a right to perform your prescribed duties, but you are not entitled to the fruits of your actions. Never consider yourself the cause of the results, nor be attached to inaction.”

This verse reminds us: Focus on your duty, not the result. Just like the thread—let the Weaver handle the outcome.

Also…

Chapter 18, Verse 62
“Tam eva ?ara?a? gachchha sarva-bh?vena bh?rata
Tat-pras?d?t par?? ?h?nti? sth?na? pr?psyasi ?h??hvatam”

“Surrender unto Him completely. By His grace, you will attain supreme peace and the eternal abode.”

The thread found peace only when it let go and allowed itself to be used fully by the Master."
14,The Broken Mirror in the King’s Court – A Tale of Inner Light and True Reflection,"A King with a Love for Mirrors
Long ago, in a prosperous kingdom, the king was known for his unusual passion—not for jewels or horses—but for mirrors.

He believed that mirrors were not just for vanity but were reflections of truth, and so he filled his palace with mirrors of every size, shape, and design. Polished bronze, imported silver glass, and enchanted crystal mirrors lined the corridors and rooms.

Once a year, the king would hold a mirror festival, where artisans from across the land would present their finest mirrors. The best one would be displayed in the Hall of Reflection, where only the most flawless mirrors were placed.

 The Humble Artisan with a Flaw
That year, among the many artisans was an old, poor craftsman who had worked in a remote village his whole life. His hands were steady, but he lacked the fine materials and tools the city craftsmen used.

He brought with him a mirror that had a crack running diagonally from one corner to the other. It wasn’t hidden. It was right there—for all to see.

As he entered the court, others laughed.

“Why bring a broken mirror to the king? You’ll be sent away!”

But the artisan replied gently,

“It may be broken, but it still reflects the truth.”

 The Test of Reflection
The king, amused yet curious, had the artisan brought before him.

“Old man,” the king said, “Do you dare offer me a broken mirror?”

“Yes, Maharaj,” the man said calmly. “Because while all others reflect only your outer face, this mirror—despite its crack—shows the imperfections honestly, including the lines of sorrow, the fatigue in your eyes, and the softness in your gaze. It reflects truth, not flattery.”

Intrigued, the king ordered the mirror to be hung in the Hall of Reflection alongside the others.

He stood before each mirror.

Some made him look younger. Some distorted his image flatteringly. Others glittered so much they blinded the eye.

But the broken mirror… it reflected him as he truly was. Wrinkles, worry, wisdom, and warmth.

The king stood silently before it.

 The King’s Realization
“This mirror may be cracked,” he said finally, “but it has no ego, no agenda, no illusion. It does not try to impress. It simply reflects. That is truth.”

He turned to the artisan:

“You have given me not a perfect mirror—but a perfect lesson.”

The broken mirror was placed at the center of the Hall of Reflection, and the king decreed:

“Let this be a reminder: Truth needs no polish. Wisdom often comes wrapped in imperfection.”","The world seeks perfection—but the Divine seeks truthfulness, humility, and inner clarity. We are all cracked in some way. But when we let go of ego and just reflect with honesty and compassion, we become mirrors of the soul, not the skin.","Chapter 4, Verse 38
“Na hi jñ?nena sad?i?ha? pavitram iha vidyate
Tat svaya? yoga-sa?siddha? k?lena ?tmani vindati”

“In this world, there is nothing so sublime and pure as transcendental knowledge. Such knowledge is the mature fruit of all mysticism. And one who has achieved it enjoys the self within himself in due course of time.”

Also…

Chapter 6, Verse 5
“Uddhared ?tman?tm?na? n?tm?nam avas?dayet
?tmaiva hy ?tmano bandhur ?tmaiva ripur ?tmana?”

“Let a person uplift their own self by their own mind. Do not degrade the self. The mind alone is the friend of the self, and the mind alone is the enemy.”

When we stop seeking validation from flattering reflections, and turn inward with humility and clarity, we meet the true self."
15,The Mouse and the Sacred Fire – A Lesson in Ego and Surrender,"Once upon a time, deep in a forest, stood an ancient ashram where a revered rishi (sage) lived. This rishi was a seer of truth, and many seekers came to learn from him.

One day, as he sat beside the sacred fire (Agni) performing his daily yajna (fire ritual), a tiny mouse scampered by, trembling in fear. A cat had been chasing it through the woods.

“O wise one, please save me!” squeaked the mouse, bowing before the sage.

The rishi, moved by its desperation, invoked a mantra of transformation and turned the mouse into a cat, so it could defend itself.

 The Rise of the Mouse
Now safe as a cat, the creature roamed freely. But soon, it came running again.

“Master, now a dog threatens me!”

With compassion, the rishi transformed the cat into a dog.

But peace was short-lived.

“A tiger now hunts me!”

Again, the sage obliged. The mouse-turned-creature now roamed the forest as a majestic tiger, proud and fearless.

 Ego Awakens
As the tiger stood tall before the fire, it began to think:

“Why should I bow to the sage? I am mighty now. I can rule the forest. Why remain near this old man and his fire?”

And then… the thought turned darker:

“He knows my past. If he tells others I was once a mouse, they’ll never respect me. It is better if I… remove him.”

That night, the tiger crept silently toward the rishi, intending to kill him.

But the sage, who could see through all hearts, opened his eyes and said calmly:

“You have forgotten your source. From dust you rose, and to dust you shall return.”

He whispered a single mantra.

And in a flash—the mighty tiger was again a quivering mouse, standing before the fire, trembling not from fear, but from shame.

 The Mouse's Tears
The mouse fell to the ground.

“Forgive me, Master. I forgot. My strength was never mine. I was proud of what You gave me, and tried to destroy You with it.”

The sage lifted him gently.

“Power given without humility becomes poison. The fire you sat beside—that is the fire of truth. Only those who surrender can live near it without being consumed.”","Ego arises when we forget our source. Whether in the form of power, knowledge, or status—if we do not remain grounded in humility, we begin to see ourselves as the doer. And that illusion leads to our fall.

True strength is recognizing that we are instruments, not originators.","Chapter 3, Verse 27
“Prak?te? kriyam???ni gu?ai? karm??i sarva?a?
Aha?k?ra-vim??h?tm? kart?ham iti manyate”

“All actions are performed by the modes of material nature. But one whose mind is deluded by false ego thinks, ‘I am the doer.’”

And...

Chapter 10, Verse 8
“Aha? sarvasya prabhavo mattah sarva? pravartate
Iti matv? bhajante m?? budh? bh?va-samanvit??”

“I am the source of all spiritual and material worlds."
16,"The Drum That Wouldn’t Beat – A Tale of Ego, Emptiness, and Divine Expression","A Kingdom of Music and Devotion
In a kingdom known for its love of music, lived a great king who was a patron of the arts. He believed that music was the breath of the divine, and every year he held a festival in honor of Lord Shiva, where musicians from across the land would perform.

In the palace temple, a sacred drum made from sandalwood was kept. It was believed that this drum had been gifted by the gods and would only beat when the vibration of true devotion was present.

 A New Drummaker Arrives
One year, the old drum had worn out, and the king invited the most skilled drum-maker in the land to craft a new one.

This man was known for his craftsmanship, but also for his pride. He boasted that no other hands matched his.

“I will create a drum so perfect, so beautiful, that even the gods will descend to hear it!”

And indeed, when the drum was complete—it was magnificent. Polished. Symmetrical. Inlaid with gold. It shimmered in the light of the temple lamps.

The king, impressed, placed it in the temple with great ceremony.

 But the Drum Remained Silent
When the musicians gathered and began to chant and play, the priest turned to beat the sacred drum.

But it made no sound.

Not a thud. Not a tap. Nothing.

Confused, they tried again.

Still nothing.

The priest turned to the king and said, “This drum has no life.”

The drum-maker turned pale. He ran forward, tapped, banged—still nothing.

 The Village Mystic
The king, perplexed, sent word to a wandering sadhu known for his insight.

When the mystic arrived, he examined the drum silently. Then he smiled.

“This drum is perfect. Too perfect. Too full of itself.”

The court fell silent.

He continued:

“A drum makes sound not because of what it is made of, but because of what it lacks—emptiness. If the space inside is not right… if pride fills the hollows where silence should be, the divine cannot play it.”

Then, the mystic picked up an old, worn drum used by temple beggars. It was cracked, patched, and plain.

He tapped it gently.

DUMMMM

The temple echoed with sacred rhythm.

The mystic bowed.

“Make yourself like this drum. Empty of ego, hollowed of pride. Only then can the Divine beat through you.”","Just like the drum, we too are instruments. If we are too full of our own importance, too perfect in form but closed in spirit, nothing divine can flow through us.

True power lies not in self-glorification but in being an open channel, empty enough to resonate with higher will.","Chapter 4, Verse 11
“Ye yath? m?? prapadyante t??s tathaiva bhaj?my aham
Mama vartm?nuvartante manu?y?? p?rtha sarva?a?”

“As all surrender unto Me, I reward them accordingly. Everyone follows My path in all respects.”

Only when we surrender, like the hollow drum, does the Divine play through us.

And…

Chapter 13, Verse 8–12 (Jnana Yoga – Qualities of Knowledge)
Among the 20 qualities listed as true knowledge are:

Amanitvam (humility)

Adambhitvam (absence of pride)

Acharyopasanam (service to the teacher)

Arjavam (simplicity)

All of which the proud drum-maker lacked, and the old drum embodied."
17,,,,
18,,,,
19,,,,
20,,,,
